                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.54246,                0.48094,                 1.0094,                0.95178,                0.91837,                0.94645,                0.82937,                 0.5322,                0.38805,                0.96829,             0.00034643,             0.00034643,             0.00034643
                     54,                0.54445,                0.48456,                 1.0054,                0.95075,                0.90163,                0.94721,                0.83111,                0.52202,                0.38534,                0.96506,             0.00033936,             0.00033936,             0.00033936
                     55,                 0.5339,                 0.4672,                0.99746,                0.95334,                0.89135,                0.94252,                0.82454,                0.53686,                 0.4197,                0.96765,              0.0003323,              0.0003323,              0.0003323
                     56,                0.53559,                  0.487,                0.99571,                 0.9385,                0.89176,                  0.926,                0.81556,                0.53725,                0.44442,                0.94842,             0.00032523,             0.00032523,             0.00032523
                     57,                 0.5298,                0.46484,                 1.0005,                0.96178,                0.90751,                0.95136,                0.82581,                0.54122,                0.38152,                0.96908,             0.00031816,             0.00031816,             0.00031816
                     58,                0.52309,                0.45583,                0.98838,                0.92991,                0.91071,                0.94169,                0.82602,                0.54309,                0.40525,                 0.9574,             0.00031109,             0.00031109,             0.00031109
                     59,                0.51883,                0.44403,                0.99003,                0.94947,                0.91485,                0.94793,                0.82575,                0.54365,                0.38357,                0.97401,             0.00030402,             0.00030402,             0.00030402
                     60,                0.51836,                0.44127,                0.99344,                0.95672,                0.90222,                0.93855,                0.82431,                0.55372,                0.40569,                0.96525,             0.00029695,             0.00029695,             0.00029695
                     61,                0.50583,                 0.4327,                0.97823,                0.96622,                0.91387,                 0.9451,                  0.837,                 0.5223,                0.38139,                0.95579,             0.00028988,             0.00028988,             0.00028988
                     62,                0.51374,                0.43696,                0.99035,                0.93713,                0.91277,                0.93818,                0.82387,                0.53696,                0.39028,                0.96851,             0.00028282,             0.00028282,             0.00028282
                     63,                0.50181,                 0.4341,                0.98352,                0.96347,                0.89983,                0.93665,                 0.8224,                 0.5369,                 0.3855,                0.95697,             0.00027575,             0.00027575,             0.00027575
                     64,                0.47998,                0.41415,                0.96901,                0.96691,                 0.9035,                0.93811,                0.83208,                0.50944,                  0.383,                0.94917,             0.00026868,             0.00026868,             0.00026868
                     65,                 0.4877,                0.40586,                0.97024,                0.97563,                0.90882,                0.93523,                0.82657,                0.51159,                 0.3831,                 0.9534,             0.00026161,             0.00026161,             0.00026161
                     66,                0.47765,                0.40066,                0.97825,                0.96969,                0.89608,                0.94254,                0.83701,                0.49343,                0.35938,                0.94533,             0.00025454,             0.00025454,             0.00025454
                     67,                0.48228,                 0.4124,                 0.9689,                0.95554,                0.89924,                0.92983,                0.81705,                0.51156,                0.39327,                0.94232,             0.00024747,             0.00024747,             0.00024747
                     68,                0.48588,                0.41549,                0.97864,                0.94921,                0.92031,                0.93736,                0.83408,                 0.5168,                0.36539,                0.94648,              0.0002404,              0.0002404,              0.0002404
                     69,                0.47627,                0.39319,                0.96445,                0.96993,                0.90115,                0.94318,                0.82762,                0.51242,                0.37331,                0.94571,             0.00023334,             0.00023334,             0.00023334
