                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.46964,                0.39712,                0.93381,                 0.9658,                0.89371,                0.92629,                0.82617,                 0.5188,                0.39698,                0.92847,             0.00014144,             0.00014144,             0.00014144
                     83,                0.45448,                0.37377,                 0.9291,                 0.9736,                0.89391,                0.93352,                0.82727,                0.52728,                0.38898,                 0.9307,             0.00013437,             0.00013437,             0.00013437
                     84,                0.46653,                 0.3848,                 0.9308,                0.96679,                0.89628,                0.93434,                 0.8283,                0.51356,                0.38893,                0.92983,             0.00012731,             0.00012731,             0.00012731
                     85,                0.45458,                 0.3831,                 0.9244,                0.97248,                0.89805,                0.93182,                0.82763,                0.51694,                0.39066,                0.92437,             0.00012024,             0.00012024,             0.00012024
                     86,                0.45833,                   0.38,                0.92854,                0.96815,                0.90444,                0.93751,                0.82473,                0.52288,                0.38312,                0.92718,             0.00011317,             0.00011317,             0.00011317
                     87,                0.44811,                 0.3663,                0.92993,                0.96922,                0.90375,                0.93559,                0.82582,                0.52164,                0.39642,                0.93025,              0.0001061,              0.0001061,              0.0001061
                     88,                0.46282,                0.37518,                0.92171,                0.95741,                0.90334,                 0.9313,                0.82327,                0.51155,                0.38082,                0.92481,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.44846,                0.37104,                 0.9255,                0.96899,                0.89815,                0.93891,                 0.8271,                0.51152,                0.37773,                0.92777,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.45265,                0.37476,                0.92469,                0.96303,                0.89236,                0.93289,                0.82807,                0.50934,                0.38227,                0.93265,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.41693,                0.32363,                0.88475,                0.96579,                0.89514,                0.93471,                0.81687,                0.52248,                0.38688,                 0.9373,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.3953,                0.30331,                0.88079,                0.95812,                0.90337,                0.94008,                0.82893,                0.52307,                0.39315,                0.93031,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.38129,                0.29297,                0.87386,                0.94661,                  0.908,                0.92981,                0.83214,                0.50843,                0.39298,                0.92664,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.37884,                0.29125,                0.87542,                0.96353,                0.89476,                 0.9293,                0.83009,                0.51292,                0.39045,                0.93011,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 0.3614,                0.28257,                0.85978,                 0.9543,                0.90488,                0.93445,                0.82795,                0.50744,                0.38277,                0.92514,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.37899,                 0.2801,                0.87302,                0.96175,                0.90948,                0.93481,                0.83177,                0.50663,                0.38261,                0.92564,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.36617,                0.28103,                 0.8588,                0.96821,                0.90855,                0.93298,                0.82709,                0.51368,                0.38736,                0.92243,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.35073,                0.27259,                0.86453,                0.97261,                 0.9034,                0.93124,                0.82873,                0.50447,                0.38366,                 0.9189,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.35873,                0.27299,                0.86528,                0.97811,                0.90045,                0.93063,                0.82966,                0.50627,                0.38468,                0.91873,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.36148,                0.28116,                0.86572,                0.97758,                0.89755,                0.93104,                0.82603,                0.50667,                0.38315,                 0.9201,             1.4209e-05,             1.4209e-05,             1.4209e-05
